                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.4931,                 2.1604,                 1.4473,                0.40246,                0.25544,                 0.2466,                0.10331,                    2.3,                 1.9342,                  1.462,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.4893,                 2.1609,                 1.4835,                0.35386,                0.28408,                0.24136,                0.10269,                  2.262,                 1.8998,                 1.4418,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.4472,                 2.1395,                 1.4803,                0.37179,                0.27377,                0.23662,                0.09761,                 2.2681,                 1.9145,                 1.4195,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.4322,                 2.0856,                 1.4584,                0.42977,                0.26117,                0.25526,                0.10937,                 2.2305,                 1.8555,                 1.4268,               0.000713,               0.000713,               0.000713
                     67,                 2.3871,                 2.0534,                 1.4211,                0.40052,                 0.2646,                0.25269,                0.10695,                 2.2483,                 1.8431,                 1.4261,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.4737,                 2.0844,                 1.4433,                0.37436,                0.31844,                0.26206,                0.10539,                 2.2191,                 1.8544,                   1.42,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.4105,                 2.0984,                 1.4727,                0.38584,                0.27377,                0.25609,                0.10717,                 2.2264,                 1.8676,                 1.3986,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.3454,                 2.0317,                 1.4365,                0.37896,                0.26351,                0.26465,                0.11681,                 2.2194,                 1.8214,                 1.4008,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.3459,                 1.9597,                 1.4471,                0.37191,                0.27835,                0.26857,                0.11562,                 2.2205,                 1.7967,                 1.4184,               0.000614,               0.000614,               0.000614
                     72,                 2.3799,                 2.0793,                 1.4732,                0.39281,                0.26826,                0.26351,                0.11615,                 2.2057,                 1.8369,                  1.413,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2916,                 1.9581,                 1.4234,                0.40835,                0.26575,                 0.2594,                0.11329,                 2.2173,                 1.8246,                 1.4096,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.3385,                 1.9574,                  1.396,                0.42571,                0.31587,                0.29854,                0.13227,                 2.1401,                 1.7508,                 1.3814,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.3746,                 2.0264,                 1.4521,                0.43189,                0.30813,                0.28994,                0.12911,                 2.1365,                 1.7785,                 1.3947,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.3056,                 1.9124,                 1.4096,                0.42145,                 0.3173,                0.29966,                0.12786,                 2.1297,                 1.7847,                 1.3812,               0.000515,               0.000515,               0.000515
                     77,                 2.2535,                 1.8918,                 1.4045,                0.44906,                0.30251,                0.29995,                0.13262,                 2.1257,                 1.7343,                 1.3818,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.3917,                 1.9716,                  1.413,                0.40328,                0.31501,                0.30515,                0.13297,                 2.1466,                  1.749,                 1.3736,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.2955,                 1.9454,                 1.4274,                0.44384,                0.30166,                 0.3091,                0.13685,                 2.1203,                 1.7493,                 1.3858,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.2607,                 1.8639,                 1.4065,                0.40357,                0.32302,                0.30567,                 0.1362,                  2.102,                 1.7293,                 1.3735,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.2867,                 1.8998,                 1.3955,                0.47174,                0.32302,                0.31993,                0.14213,                 2.0903,                 1.6884,                 1.3705,               0.000416,               0.000416,               0.000416
                     82,                 2.1948,                 1.8109,                 1.3581,                0.45224,                 0.3173,                0.31701,                0.14257,                 2.0933,                 1.7002,                 1.3671,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.2654,                 1.9004,                 1.3931,                0.48156,                0.31157,                 0.3142,                0.14132,                  2.109,                 1.6835,                 1.3609,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.3077,                 1.9081,                 1.3815,                 0.4793,                0.31526,                0.31352,                0.14196,                  2.097,                  1.673,                  1.359,              0.0003566,              0.0003566,              0.0003566
